From/to,deport,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
deport,0,9377,12418,10246,9861,11878,13588,13961,15997,15238,12245,18902,18529,21272,18977,18618,6109,6041,11732,16619,5008,11733,16486,21378,10356,15394,26217,15614,25988,11286,12612,9817,11138,12060,17827,9534,15985,16804,21400,18436,19869,15580,16302,22421,22416,21813,16194,19149,22749,14830,9252,9947,7763,5970,8454,2556,13203,2491,9946,16314,18070,20032,20074,18138,12680,10222,19378,19354,14758,12414,16419,22154,22471,18381,22212,8715,2214,6376,10985,19486,6428,6376,5865,7196,7247,7308,12785,12375,15270,13943,10215,13785,15149,15676,16005,12644,12814,13118,13117,14332,16503,16184,19240,17162,17608,17690,18011,17792,16671,20490,20022,22011,22164,25142,25143,26024,33264,28656,27154,26069,26607,26654,27719,30865,24970,22212,8791,8613,5869,10556,10601,10955,10759,11304,11731,12653,11677,10802,11905,11957
1,8624,0,3831,3100,1951,4076,4179,3377,7464,6720,5275,10369,9996,10777,7857,10085,3649,4474,2700,8294,5055,2700,11884,12608,8800,9640,16330,6898,16101,7900,9226,6431,7752,8586,14353,15994,12754,13516,17925,13305,14872,11648,12925,11305,11616,11318,6585,7373,15489,9076,125,3816,2800,4186,1943,7298,8600,7176,2800,7781,9241,11498,9590,6696,3705,5002,7143,14260,11014,8939,12944,14894,11670,11121,13443,3866,6956,3002,1952,9002,2950,3002,4514,4253,4304,4364,7691,7281,10176,8849,5121,8691,10055,10582,10911,7172,7071,4600,4599,8193,8366,8578,11497,9419,10221,10303,11593,11703,11577,14401,13933,16917,17070,19053,19054,19935,27175,22567,21064,19107,19645,19691,19983,19008,18008,15250,1859,3054,3421,5779,5507,5860,5665,6185,6637,7558,5628,6964,8274,8222
2,10975,3831,0,798,5733,1146,1967,1774,8074,7331,6893,10979,10606,9780,6860,10695,5247,6555,3876,8904,6653,3876,7999,12899,8196,6916,15333,5901,15104,12252,13154,10783,12104,12676,17431,19579,14090,14857,20184,15511,15855,13854,15284,10308,10619,10321,5588,6376,14270,6352,3706,6812,6314,5784,3541,11391,4716,10676,895,8391,9852,12108,8593,5699,5499,2615,6146,15243,14262,13030,16022,13676,10673,9902,13734,7381,11049,4600,4786,8005,4548,4600,7418,8072,8123,8184,11337,10926,11159,10438,8767,10843,11038,11918,12246,7913,7812,5289,5288,8803,8976,9188,12107,10030,10831,10913,12204,12313,12268,15011,14543,18224,18377,19663,19664,20545,27786,23177,21675,19717,20255,20302,20593,19618,18618,15860,5373,6568,5882,9633,9153,9506,9310,8694,8826,8582,7024,10550,11920,11868
3,11206,3100,798,0,4025,1919,2650,2250,8756,8013,7575,11662,11288,10463,7543,11378,4516,5342,4559,9587,5923,4559,8682,13582,7057,7598,16016,6584,15786,10989,12315,9520,10841,11675,17441,17394,14772,15540,21014,16193,16538,14537,15967,10991,11301,11004,6271,7058,14953,7034,2976,5520,5584,5053,2810,8697,5398,8576,97,9073,10534,12791,9276,6382,6182,2846,6829,15926,12902,12028,16033,14358,11356,10585,14416,6650,8355,3870,3079,8687,3818,3870,6688,7342,7392,7453,9578,9168,11841,11120,7008,11525,11721,12600,12929,8596,8494,5972,5971,9486,9658,9871,12790,10712,11513,11595,12886,12996,12951,15694,15226,18907,19060,20346,20346,21228,28468,23860,22357,20400,20938,20984,21275,20301,19301,16543,4643,5837,5152,7862,7395,7748,7552,7890,9509,9264,7707,10052,10162,10110
4,9524,1953,4951,4603,0,6078,4410,3608,6414,5671,3974,9319,8946,11009,8089,9035,4355,6664,2574,7244,6202,2574,12115,12840,12312,9871,15532,7129,15303,5860,7186,4391,5712,6979,12746,16894,10716,11478,16318,11266,12833,9610,10886,11536,11801,11168,6816,7604,15720,9308,2078,1594,2103,6058,4132,8198,8832,8076,4506,6731,8192,10449,9821,6927,2442,7547,7374,12222,8976,7332,11337,15125,11777,11352,13674,2760,7856,4253,1826,9233,4236,4253,4971,3857,3908,3969,5652,5242,8137,6810,3082,6652,8016,8544,8872,4951,4850,3550,3550,7144,7316,7529,10448,8370,9171,9253,10544,10653,9538,13351,12884,14878,15031,18004,18004,18885,26126,21518,20015,18057,18596,18642,18933,17958,16958,14201,1313,2262,4321,3936,3468,3822,3626,3963,4599,5520,3406,4853,6236,6184
5,10447,4101,970,1653,5906,0,2225,2514,8247,7504,7066,11152,10779,8704,5784,10868,5516,6027,4049,9077,6923,4049,7784,12684,7981,6700,17523,4825,17294,11989,13327,10520,11841,12849,17604,19052,14263,15030,20357,15684,16028,14027,15457,9232,9542,9245,4512,5300,14055,6137,3976,6985,6584,6054,3810,10864,4501,10148,1750,8564,10024,12281,7517,4623,5672,2087,5070,15416,14435,13202,16195,13461,9597,9687,13518,7650,10522,4870,4959,6928,4818,4870,7688,8342,8393,8453,11510,11099,11332,10611,8940,11016,11211,12091,12419,8086,7985,5462,5461,8976,9149,9361,12280,10202,11004,11086,12376,12486,12441,15184,14716,18397,18550,19836,19837,20718,27958,23350,21848,19890,20428,20474,20766,19791,18791,16033,5643,6838,6152,9806,9326,9679,9483,8867,8999,8755,7197,10723,12093,12041
6,12132,4172,1978,2660,4416,2303,0,1512,6757,6014,5576,9663,9289,8464,5544,9379,7201,7712,2560,7588,8608,2560,7923,10295,8120,6839,14017,4585,13788,10935,11837,9466,10787,11360,16114,20736,12774,13541,18868,14194,14538,12538,13968,8992,9302,9005,4272,5059,13175,6276,4296,5496,6420,7738,5495,12548,4640,11833,2757,7074,8535,10792,7277,4383,4183,3772,4830,13927,12945,11713,14706,12581,9356,8807,11130,7855,12206,6555,3470,6688,6503,6555,8633,8175,8226,9075,10020,9610,9842,9122,7450,9526,9722,10601,10930,6596,6496,3972,3972,7487,7660,7872,10791,8713,9514,9596,10887,10996,10952,13695,13227,16908,17061,18347,18347,19228,26469,21861,20358,18401,18939,18985,19276,18302,17302,14544,5631,6579,7540,8317,7836,8190,7994,7378,7510,7265,5708,9234,10603,10551
7,12466,3721,1774,2250,3966,2637,1496,0,6525,5782,5126,9431,9057,8232,5312,9147,7034,7860,2109,7356,8441,2109,9201,10063,9398,7095,13784,4353,13556,10484,11387,9015,10336,10909,15664,21070,12323,13090,18417,13744,14088,12087,13517,8760,9070,8773,4040,4827,12943,6531,3846,5045,5970,7572,5328,10966,5918,12167,1905,6842,8303,10560,7045,4151,3732,4105,4598,13476,12495,11262,14255,12349,9124,8575,10898,7404,10624,6388,3019,6456,6336,6388,8182,7724,7775,8625,9569,9159,9391,8671,6999,9075,9271,10150,10479,6146,6045,4030,4029,7255,7428,7640,10559,8481,9282,9364,10655,10764,10720,13462,12995,16676,16829,18115,18115,18996,26237,21629,20126,18169,18707,18753,19044,18070,17070,14312,5180,6128,7089,7866,7386,7739,7543,6927,7059,6815,5257,8783,10152,10100
8,16275,8130,8153,8836,6869,8478,6810,6597,0,1894,5448,3402,3029,6108,8250,3118,11499,13273,5462,1143,12953,5462,14515,10204,14711,12124,9615,9382,9386,11919,9627,9991,11771,10462,13088,23645,9748,9938,14714,10430,10081,9512,9510,6100,5884,5251,9069,9736,14658,11560,8255,6900,8741,13202,9738,14949,11232,14827,8932,317,2091,4532,7767,9269,4196,9947,9966,9469,9919,10815,11680,15253,5859,12164,11038,8385,14607,11766,6119,7497,11549,11766,11358,9717,9666,9606,7101,6690,4805,6096,6697,6500,5266,6554,6883,4523,4693,3263,3263,2338,1215,1428,4346,2269,3070,3152,4443,4552,4508,7250,6783,10464,10616,11902,11903,12784,20025,15417,13914,12140,12678,12725,13016,12041,11041,8283,7951,8657,11072,7100,6592,6945,6556,6041,5011,4766,6975,7743,7684,7632
9,15338,7307,7330,8013,6046,7655,5987,5774,1904,0,4718,3144,2770,5850,7992,2860,10170,11447,4639,3047,12016,4639,13692,9946,13888,11301,9356,8559,9127,11517,11019,10048,11369,11854,14481,22708,11140,11330,16106,11822,11473,10904,10903,5841,5625,4992,8246,9477,14400,10737,7432,6077,7918,11158,8915,14012,10408,13891,8109,1612,2947,4273,7508,9010,4159,9124,9707,10861,11312,12207,13072,14994,5601,11905,10780,8436,13670,10067,5296,7238,10051,10067,10786,9768,9718,9657,8493,8082,6198,7488,8089,7893,6658,7946,8275,4303,4292,2440,2440,3730,3119,3331,4893,4074,4755,4837,6845,6456,6411,9154,8686,12367,12520,13191,13192,14073,19352,14744,13241,11949,12487,12534,12825,11850,10850,8093,7128,8171,10135,8493,7984,8338,7949,7434,6403,6159,5416,9136,9076,9024
